Date,Open,High,Low,Close,Adj Close,Volume
5/1/2017,160.050003,160.419998,158.699997,158.839996,145.750641,4935300
5/2/2017,159.440002,159.490005,158.639999,159.100006,145.989227,3208200
5/3/2017,158.740005,159.449997,158.520004,158.630005,145.557953,3993300
5/4/2017,158.889999,159.139999,158.360001,159.050003,145.943359,4280600
5/5/2017,153.520004,155.779999,153,155.050003,142.27298,12521300
5/8/2017,152.800003,153.470001,152.199997,153.029999,141.791153,7492000
5/9/2017,152.600006,153.100006,151.559998,152.110001,140.938705,6853000
5/10/2017,151.649994,152.369995,151.130005,151.25,140.141891,4999900
5/11/2017,151.050003,151.149994,149.789993,150.649994,139.585953,5627900
5/12/2017,150.300003,151.259995,150,150.369995,139.326508,3715300
5/15/2017,150.619995,151.830002,150.449997,151.509995,140.382797,4245500
5/16/2017,151.660004,153.990005,151.660004,153.679993,142.393417,5513700
5/17/2017,153.300003,154.139999,150.889999,150.929993,139.845383,5191500
5/18/2017,150.860001,151.330002,150.110001,150.779999,139.706421,3274200
5/19/2017,151.009995,152.460007,150.889999,151.979996,140.818298,5643000
5/22/2017,152.100006,152.839996,151.600006,152.639999,141.429794,3302100
5/23/2017,152.570007,153.679993,151.919998,152.029999,140.864609,2564500
5/24/2017,152.210007,152.759995,151.229996,152.509995,141.309357,3732400
5/25/2017,153.25,153.729996,152.949997,153.199997,141.948685,2582700
5/26/2017,152.850006,153,152.059998,152.490005,141.290817,2443300
5/30/2017,151.949997,152.669998,151.589996,151.729996,140.586609,3666000
5/31/2017,152.029999,152.800003,151.649994,152.630005,141.420563,3543400
6/1/2017,152.800003,152.869995,151.630005,152.669998,141.457596,2918100
6/2/2017,153.070007,153.199997,151.800003,152.050003,140.883133,3585700
6/5/2017,151.820007,152.929993,151.679993,152.410004,141.216705,3975100
6/6/2017,152,152.889999,152,152.369995,141.179611,3797200
6/7/2017,153.050003,154.199997,150.800003,150.979996,139.891724,4865700
6/8/2017,151,152.820007,150.919998,152.100006,140.929459,3709000
6/9/2017,152,154.259995,151.880005,154.100006,142.782578,4361500
6/12/2017,154.190002,157.199997,154.020004,155.179993,143.783249,6471500
6/13/2017,155.440002,155.479996,154.149994,154.25,142.921555,3523500
6/14/2017,153.970001,154.940002,152.940002,153.809998,142.51387,3049100
6/15/2017,153.289993,154.690002,153.289993,154.220001,142.893784,4654300
6/16/2017,154.229996,155.419998,152.970001,155.380005,143.968567,6742000
6/19/2017,155.509995,155.860001,154.539993,154.839996,143.468231,4629500
6/20/2017,154.479996,155.389999,154.25,154.949997,143.57016,4481700
6/21/2017,155.789993,155.789993,153.389999,153.789993,142.495331,3959700
6/22/2017,154.550003,154.990005,153.690002,154.399994,143.060532,2376500
6/23/2017,154.339996,154.679993,153.800003,154.110001,142.79187,3282200
6/26/2017,154.710007,155.75,154.630005,155.229996,143.82959,2153500
6/27/2017,155,155.339996,154.5,154.75,143.384842,2386500
6/28/2017,155.149994,155.550003,154.779999,155.320007,143.912994,2221000
6/29/2017,155.350006,155.740005,153.619995,154.130005,142.810394,3262200
6/30/2017,154.279999,154.5,153.139999,153.830002,142.53241,3571500
7/3/2017,153.580002,156.029999,153.520004,155.580002,144.15387,2822500
7/5/2017,155.770004,155.889999,153.630005,153.669998,142.384155,3564400
7/6/2017,153.360001,153.830002,152.229996,152.360001,141.170395,2757500
7/7/2017,152.619995,153.490005,152.139999,152.940002,141.707779,2460100
7/10/2017,152.910004,153.889999,152.630005,153.419998,142.152512,3206200
7/11/2017,153.259995,153.649994,152.050003,153.190002,141.939407,3447500
7/12/2017,153.479996,154.240005,153.050003,153.699997,142.411942,3097900
7/13/2017,153.699997,154.190002,153.190002,153.630005,142.347122,2476100
7/14/2017,154.009995,154.619995,153.399994,154.240005,142.912308,3256400
7/17/2017,153.589996,153.880005,152.240005,153.009995,141.772629,4762600
7/18/2017,152.360001,154.289993,152,154,142.689911,7566800
7/19/2017,150.020004,150.25,146.710007,147.529999,136.695084,14293600
7/20/2017,147.529999,148.830002,147.029999,147.660004,136.815552,7212200
7/21/2017,147.589996,147.869995,146.509995,147.080002,136.278122,6509500
7/24/2017,147,147.039993,145.800003,145.990005,135.268219,3877600
7/25/2017,146.570007,147.490005,146.029999,146.190002,135.453522,4208900
7/26/2017,146.270004,146.460007,144.470001,145.360001,134.684464,3932400
7/27/2017,145,145.399994,143.639999,145.070007,134.415787,6430800
7/28/2017,144.809998,145.039993,143.839996,144.289993,133.693039,3054800
7/31/2017,144.380005,144.929993,144.169998,144.669998,134.045135,4355700
8/1/2017,145,145.669998,144.720001,145.300003,134.628876,3219500
8/2/2017,145.119995,145.289993,144.220001,144.449997,133.841293,3540900
8/3/2017,144.429993,145.339996,144.429993,144.940002,134.295303,3035400
8/4/2017,145,145.389999,144.399994,145.160004,134.499161,2549400
8/7/2017,145,145.089996,142.75,143.470001,132.933258,4618300
8/8/2017,142,142.759995,142,142.110001,133.064362,3298700
8/9/2017,141.75,142.029999,141.190002,141.770004,132.746002,2925800
8/10/2017,141.639999,142.419998,141.229996,141.839996,132.811523,4525400
8/11/2017,142.449997,142.589996,141.520004,141.839996,132.811523,3004000
8/14/2017,142,142.759995,141.940002,142.320007,133.260986,2222300
8/15/2017,142.550003,143.339996,140.580002,142.070007,133.026917,4681500
8/16/2017,141.789993,142.910004,141.610001,142.5,133.429535,3287800
8/17/2017,142.520004,142.889999,140.699997,140.699997,131.744095,4422100
8/18/2017,140.869995,141.149994,139.580002,139.699997,130.80777,4152700
8/21/2017,139.589996,140.419998,139.130005,140.330002,131.397644,3190700
8/22/2017,140.639999,141.149994,140.380005,141.009995,132.034363,2544400
8/23/2017,140.699997,143.050003,140.679993,142.139999,133.092438,4048300
8/24/2017,142.5,143.679993,142.25,142.940002,133.841507,3592200
8/25/2017,143.300003,144.190002,143.25,143.740005,134.590591,2872900
8/28/2017,144.110001,144.559998,142.389999,142.509995,133.438889,5134500
8/29/2017,142.100006,143.429993,141.899994,143.139999,134.028793,3009500
8/30/2017,143.259995,143.279999,142.410004,142.559998,133.485718,2736000
8/31/2017,143.020004,143.660004,142.630005,143.029999,133.925797,3656400
9/1/2017,142.979996,144.5,142.979996,144.080002,134.908951,3351700
9/5/2017,143.5,144.360001,142.699997,143.039993,133.935165,3097500
9/6/2017,143.880005,144.470001,143.5,143.820007,134.665527,3273300
9/7/2017,144.100006,144.639999,142.410004,142.899994,133.804062,4188200
9/8/2017,143.149994,143.149994,141.639999,142.449997,133.382721,3366200
9/11/2017,143.539993,145.130005,143.009995,144.860001,135.639297,4613400
9/12/2017,145.110001,146.369995,144.509995,145.759995,136.48201,5238100
9/13/2017,145.350006,146.289993,145.339996,145.990005,136.697403,4101000
9/14/2017,145.860001,146.380005,145.509995,145.539993,136.276031,3756900
9/15/2017,144.820007,145.169998,144.080002,144.820007,135.601852,7397200
9/18/2017,144.809998,145.479996,144.270004,144.550003,135.34903,3019500
9/19/2017,144.789993,144.979996,144.220001,144.389999,135.199234,3464400
9/20/2017,144.929993,145.880005,144.419998,145.880005,136.594391,5447500
9/21/2017,145.649994,145.889999,145.100006,145.259995,136.01387,2555600
9/22/2017,145.589996,145.589996,144.589996,145.130005,135.892136,2792300
9/25/2017,145.119995,146.029999,144.910004,145.869995,136.585007,5213100
9/26/2017,146.360001,147.419998,145.940002,146.559998,137.23111,4488600
9/27/2017,146.679993,146.899994,145.029999,145.660004,136.388397,3502700
9/28/2017,145.660004,145.860001,144.210007,145.660004,136.388397,2774800
9/29/2017,145.449997,145.690002,144.919998,145.080002,135.845322,2654700
10/2/2017,145.350006,146.869995,145.210007,146.660004,137.324753,2973200
10/3/2017,146.690002,147.199997,146.339996,146.779999,137.437088,2302700
10/4/2017,147,147.020004,146.110001,146.479996,137.156204,2244400
10/5/2017,146.679993,147.539993,146.479996,146.720001,137.38092,2686500
10/6/2017,146.639999,146.850006,146.320007,146.479996,137.156204,2623200
10/9/2017,146.5,147.789993,146.350006,147.389999,138.008286,2682600
10/10/2017,147.710007,148.949997,147.649994,148.5,139.047607,4032600
10/11/2017,148.399994,148.470001,147.279999,147.619995,138.223618,3702200
10/12/2017,147.559998,147.889999,146.770004,147.029999,137.671188,3264300
10/13/2017,147.479996,147.850006,146.940002,147.100006,137.736725,2506600
10/16/2017,147.220001,147.669998,146.509995,146.830002,137.483902,3052100
10/17/2017,146.630005,147.119995,146.179993,146.539993,137.212372,6372400
10/18/2017,157.119995,161.229996,156.949997,159.529999,149.375534,30490200
10/19/2017,159.800003,160.960007,159.089996,160.899994,150.658325,9914200
10/20/2017,161.070007,162.479996,159.770004,162.070007,151.753845,7868800
10/23/2017,162.050003,162.509995,159.539993,159.550003,149.394272,5779400
10/24/2017,159.649994,159.699997,155.169998,155.880005,145.95787,8194700
10/25/2017,156.009995,156.369995,153.059998,153.5,143.72934,6921100
10/26/2017,154.309998,155.119995,153.539993,153.600006,143.822998,4300500
10/27/2017,154.539993,154.630005,152.910004,153.679993,143.897888,4895200
10/30/2017,153.759995,154.589996,152.710007,154.360001,144.534622,4210400
10/31/2017,154.330002,154.929993,152.929993,154.059998,144.253708,4328300
11/1/2017,154.100006,154.899994,153.830002,154.029999,144.225632,3240200
11/2/2017,154.179993,154.490005,152.910004,153.350006,143.588913,3397600
11/3/2017,153.419998,153.470001,151.490005,151.580002,141.931564,4431800
11/6/2017,151.770004,151.820007,150.279999,150.839996,141.238663,4498400
11/7/2017,151.369995,151.509995,150.5,151.350006,141.716187,3701100
11/8/2017,151.600006,151.789993,150.279999,151.570007,141.922195,4634400
11/9/2017,149.929993,151.800003,149.860001,150.300003,142.139709,4776500
11/10/2017,150.649994,150.889999,149.139999,149.160004,141.061615,4307300
11/13/2017,148.880005,149,147.919998,148.399994,140.342865,5107500
11/14/2017,147.949997,148.970001,147.490005,148.889999,140.80629,3758000
11/15/2017,148,148.710007,146.210007,147.100006,139.113464,4773300
11/16/2017,147.729996,149.649994,147.5,149.119995,141.023773,5446500
11/17/2017,149.339996,150.149994,148.830002,148.970001,140.881927,4916500
